id,no_suivi,no_rapport,raport_type,date_envoi,crc,titre_raport,note,type_organisme,lat,long,ville
248,,jf00135885.html,Rapport d'observations définitives,06/09/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Jean-de-Marsacq -  (Landes),-17,Commune,43.625690999999996,-1.256499,Saint-Jean-de-Marsacq
249,,jf00135899.html,Rapport d'observations définitives,06/09/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Vincent-de-Tyrosse -  (Landes),5,Commune,43.6587109,-1.301187,Saint-Vincent-de-Tyrosse
250,,jf00135901.html,Rapport d'observations définitives,06/09/2013,CRC Aquitaine Poitou-Charentes,Commune - Castets -  (Landes),5,Commune,43.881921999999996,-1.145308,Castets
251,,jf00135907.html,Rapport d'observations définitives,10/09/2013,CRC Aquitaine Poitou-Charentes,Commune - Ribérac -  (Dordogne),-47,Commune,45.246394,0.33765100000000003,Ribérac
254,13-0088 R,jf00135952.html,Rapport d'observations définitives,15/07/2013,CRC Ile-de-France,Commune - Chaville -  (Hauts-de-Seine),-8,Commune,48.808026,2.192418,Chaville
271,13-0123 R,jf00136163.html,Rapport d'observations définitives,06/09/2013,CRC Ile-de-France,Commune - Nogent-sur-Marne  -  (Val-de-Marne),-60,Commune,48.83763099999999,2.4816990000000003,Nogent-sur-Marne
282,2006-2013,jf00136324.html,Rapport d'observations définitives,23/08/2013,CRC Basse-Normandie Haute-Normandie,Commune - Gournay-en-Bray -  (Seine-Maritime),-120,Commune,49.48266160000001,1.7245633000000002,Gournay-en-Bray
284,ROD 0580,jf00136332.html,Rapport d'observations définitives,10/09/2013,CRC Nord-Pas-de-Calais Picardie,Commune - Commune de Lens -  (Pas-de-Calais),-62,Commune,50.4145771,3.0657695,Rue de la Commune de Paris
285,13-0138 R,jf00136334.html,Rapport d'observations définitives,04/09/2013,CRC Ile-de-France,Région - Gestion des ressources humaines de la région Ile-de-France -  (Paris),-35,Région,48.856614,2.3522218999999995,Paris
305,13-0103 R,jf00136501.html,Rapport d'observations définitives,10/09/2013,CRC Ile-de-France,Commune - Montgeron -  (Essonne),26,Commune,48.703859,2.4604529,Montgeron
